1.0001	0.9999	400.744	493.475	306.24	390.564	
1.0005	0.9995	476.017	575.203	373.147	427.207	
1.001	0.999	516.353	618.492	409.608	480.099	
1.002	0.998	563.138	668.333	452.364	532.747	
1.00503	0.995	637.955	747.344	521.656	614.237	
1.0101	0.99	707.804	820.49	587.228	690.199	
1.02041	0.98	793.702	909.82	668.833	775.507	
1.02564	0.975	825.801	943.068	699.562	810.395	
1.04167	0.96	902.603	1022.4	773.513	889.741	
1.05263	0.95	944.345	1065.44	813.923	930.644	
1.11111	0.9	1104.22	1230.08	969.686	1095.5	
1.25	0.8	1337.86	1471.86	1198.39	1327.71	
1.42857	0.7	1539.1	1683.14	1394.39	1533.35	
1.66667	0.6	1736.86	1894.95	1584.59	1736.24	
1.75323	0.570376	1797.1	1960.42	1641.89	1795.33	
2	0.5	1946.54	2124.92	1782.64	1946.54	
2.32762	0.429624	2109.29	2307.48	1933.53	2111.29	
2.5	0.4	2183.48	2391.86	2001.48	2184.12	
3.33333	0.3	2471.61	2726.14	2260.81	2481.2	
5	0.2	2861.38	3193.16	2601.47	2885.23	
10	0.1	3514.28	4006.13	3152.49	3544.47	
20	0.05	4173.36	4857.25	3691.02	4241.73	
25	0.04	4389.26	5141.6	3864.45	4460.34	
40	0.025	4851.99	5759.17	4232.05	4959.03	
50	0.02	5075.97	6061.8	4408.17	5215.09	
100	0.01	5791.79	7043.64	4964.12	5963.03	
200	0.005	6541.34	8093.43	5536.56	6846.85	
500	0.002	7590.41	9595.43	6323.8	8121.21	
1000	0.001	8432.02	10825	6945.37	NaN	
2000	0.0005	9318.24	12141.1	7591.59	NaN	
10000	0.0001	11563	15561	9196.31	NaN	
