1.0001	0.9999	342.08	479.538	223.801	328.768	
1.0005	0.9995	477.632	647.713	326.259	397.493	
1.001	0.999	558.296	745.632	389.03	503.267	
1.002	0.998	658.598	865.673	468.607	602.468	
1.00503	0.995	833.534	1071.47	610.719	790.037	
1.0101	0.99	1012.39	1278.32	759.543	977.191	
1.02041	0.98	1252	1551.32	963.281	1211.47	
1.02564	0.975	1346.93	1658.49	1045.14	1313.15	
1.04167	0.96	1585.53	1925.91	1253.21	1555.39	
1.05263	0.95	1721.86	2077.73	1373.36	1687.32	
1.11111	0.9	2285.43	2700.64	1877.24	2261.04	
1.25	0.8	3220.27	3728.86	2727.11	3182.19	
1.42857	0.7	4123.7	4729.21	3552.09	4100.7	
1.66667	0.6	5093.98	5819.82	4432.44	5093.13	
1.75323	0.570376	5405.01	6173.77	4712.47	5397.43	
2	0.5	6206.4	7096.13	5428.21	6206.4	
2.32762	0.429624	7126.65	8173.92	6239.24	7136.65	
2.5	0.4	7561.84	8690.39	6618.74	7563.09	
3.33333	0.3	9341.46	10844.6	8145.44	9393.87	
5	0.2	11963.1	14126.4	10331.5	12106.4	
10	0.1	16859.5	20525.7	14267.3	17041.5	
20	0.05	22382.2	28062.7	18548.1	22840.7	
25	0.04	24308.3	30755.6	20011.5	24779.7	
40	0.025	28618.4	36884.4	23241.3	29355.6	
50	0.02	30790.6	40022.1	24848.3	31822	
100	0.01	38086.5	50770.4	30161.1	39460	
200	0.005	46269.6	63158.8	35991.2	48820.8	
500	0.002	58577.7	82341.6	44559.7	64043.8	
1000	0.001	69118.1	99211.2	51744.5	NaN	
2000	0.0005	80810.2	118332	59579.7	NaN	
10000	0.0001	112895	172614	80515	NaN	
