Z07290650                       USGS 
H07290650       3201070905242002828021SW08060203654    654     82.32            
N07290650       BAYOU PIERRE NR WILLOWS, MS
Y07290650       
307290650       19590419  12000               17.33                    
307290650       19591217  21700               24.03                    
307290650       19610329  22000               24.20                    
307290650       19611218  25200               26.12                    
307290650       19630120   9680               15.43                    
307290650       19640427  23800               24.61                    
307290650       19641005  31300               27.42                    
307290650       19660421  22100               23.88                    
307290650       19670504  15900               19.61                    
307290650       19680110  18500               21.50                    
307290650       19690414  19500               22.24                    
307290650       19700304  11700               16.59                    
307290650       19710512  17200               20.54                    
307290650       19711207  31900               25.80                    
307290650       19730325  27600               24.65                    
307290650       19740413  51000               27.33                    
307290650       19741224  29300               25.30                    
307290650       19760331  37600               26.47                    
307290650       19770304  36500               26.39                    
307290650       19780508  40300               26.36                    
307290650       19790121  46400               26.87                    
307290650       19800413  63800               28.16                    
307290650       19810305  17400               20.77                    
307290650       19820216  22700               23.48                    
307290650       19830407  88000               29.36                    
307290650       19840306  42100               26.56                    
307290650       19850224  31000               25.43                    
307290650       19860319  20800               22.66                    
307290650       19861125  24800               24.25                    
307290650       19880331  18200               21.23                    
307290650       19890519  27000               24.85                    
307290650       19900513  46600               26.90                    
307290650       19910430  36000               25.97                    
307290650       19920827  31100               25.44                    
307290650       19930112  18000               21.10                    
307290650       19940128  53100               26.82                    
307290650       19950423  28000               24.47                    
307290650       19951218  19700               21.63                    
307290650       19970428  34800               24.612                   
307290650       19971224  37300               24.57                    
307290650       19990130  25100               21.58                    
307290650       20000403  24000               21.22                    
307290650       20010303  41200               24.90                    
307290650       20020927  62000               26.81                    
307290650       20030222  50400               25.75                    
307290650       20040206  36500               24.31                    
307290650       20050202  14000               16.94                    
307290650       20060321  20400               20.17                    
307290650       20061231  15900               17.95                    
307290650       20080903  43700               25.66                    
307290650       20081212  38500               24.90                    
307290650       20100205  22300               20.93                    
307290650       20110309  29900               23.10                    
307290650       20120831  26700               22.31                    
307290650       20130222  32200               23.61                    
307290650       20140407  34200               24.05                    
307290650       20150419  18800               19.40                    
307290650       20160312  50500               26.26                    
307290650       20170120  21900               20.79                    
307290650       20180226  35300               24.21                    
307290650       20190103  41900               25.16                    
