Z02472500                       USGS 
H02472500       3125330892453002828035SW03170004304    304     160.04           
N02472500       BOUIE CREEK NR HATTIESBURG, MS
Y02472500       
302472500       190004    5000027Bd           33.505Bd                   
302472500       19390330   3480               13.74                    
302472500       19400709   4590               17.08                    
302472500       19410307   6900               18.06                    
302472500       19411224   8040               18.30                    
302472500       19430321  24000               25.70                    
302472500       19440324   5150               15.02                    
302472500       19450425   4400               13.97                    
302472500       19451225   5230               15.08                    
302472500       19470121   9710               21.07                    
302472500       19480306   6820               18.48                    
302472500       19490402   7730               19.46                    
302472500       19500215  12400               21.94                    
302472500       19510329   6830               18.22                    
302472500       19520203   1940                9.08                    
302472500       19530505   7540               18.81                    
302472500       19531209   3000               11.66                    
302472500       19550413   9250               19.16                    
302472500       19560204   5900               17.20                    
302472500       19570405   4120               14.24                    
302472500       19580923  11400               21.31                    
302472500       19590422   2140                9.61                    
302472500       19591105   3700               13.30                    
302472500       19610222  34800               26.54                    
302472500       19620429  11500               21.28                    
302472500       19630121   1740                9.48                    
302472500       19640428   4000               13.96                    
302472500       19641212   4430               14.82                    
302472500       19660213   9120               19.91                    
302472500       19670506   2400               10.25                    
302472500       19671216   4100               14.17                    
302472500       19690415   5850               16.17                    
302472500       19700503   2120                9.31                    
302472500       19710303   4350               13.71                    
302472500       19711207   4730               14.35                    
302472500       19730326   8300               19.92                    
302472500       19740414  45500               28.18                    
302472500       19750509  10900               20.93                    
302472500       19760401   7590               19.28                    
302472500       19770422   6070               17.38                    
302472500       19780126   2950               10.52                    
302472500       19790305   6780               18.23                    
302472500       19800413  21700               25.21                    
302472500       19810330   3660               13.23                    
302472500       19820217   3260               12.34                    
302472500       19830407  22800               26.06                    
302472500       19831228   4290               15.78                    
302472500       19850817   7000               17.01                    
302472500       19851029   7060               17.09                    
302472500       19870301  10600               21.20                    
302472500       19880904   3170               10.77                    
302472500       19890101   7330               16.86                    
302472500       19900514  33500               26.53                    
302472500       19910430   8540               19.35                    
302472500       19920216   4840               14.28                    
302472500       19930121   7620               18.14                    
302472500       19940129  11900               21.34                    
302472500       19950423   3730               12.46                    
302472500       19960307   3590               12.22                    
302472500       19970429   9320               19.36                    
302472500       19980107   9050               19.10                    
302472500       19990314   7350               17.12                    
302472500       20000404   1840                8.26                    
302472500       20010304  13900               22.70                    
302472500       20011214   3880               12.15                    
302472500       20030224   8630               18.64                    
302472500       20040213   6580               16.13                    
302472500       20050401  12100               21.49                    
302472500       20060226   2520                9.24                    
302472500       20061231   4250               12.26                    
302472500       20080903   3460               10.96                    
302472500       20090328   9140               18.72                    
302472500       20091218   5950               14.94                    
302472500       20110310   9340               18.93                    
302472500       20120831  10000               19.64                    
302472500       20130213   9460               19.06                    
302472500       20140221   7150               16.42                    
302472500       20150105   6360               15.46                    
302472500       20160312  27100               26.13                    
302472500       20170606   5690               14.59                    
302472500       20180415   4140               12.39                    
302472500       20181228  12300               21.60                    
