Z03050000                       USGS 
H03050000       3848330795255005454083SW05020001185    185     1940.53          
N03050000       TYGART VALLEY RIVER NEAR DAILEY, WV
Y03050000       
303050000       19151218   5070               10.30                    
303050000       19170312   7510               13.40                    
303050000       19180313  11300               15.90                    
303050000       19190101   6470               12.10                    
303050000       19191207   6390               12.04                    
303050000       19210530   5600               11.00                    
303050000       19211218   5220               10.50                    
303050000       19230202   6150               11.70                    
303050000       19240512   8420               13.60                    
303050000       19250319   4700                9.85                    
303050000       19260122   4470                9.50                    
303050000       19270219   5350               10.50                    
303050000       19280620   8540               13.70                    
303050000       19281201   6240               11.8436                   
303050000       19291003   5760               11.203                   
303050000       19310823   2880                7.353                   
303050000       19320204  13100               17.203                   
303050000       19330727   4540                9.603                   
303050000       19340303   7200               12.503                   
303050000       19350807   9500               14.533                   
303050000       19360317   9020               14.103                   
303050000       19370426   5800               10.983                   
303050000       19371028   8540               13.703                   
303050000       19390203   9310               14.203                   
303050000       19400619   4920               10.003                   
303050000       19410518   3600                8.503                   
303050000       19420824   6230               11.366                   
303050000       19430730   7760               12.70                    
303050000       19440223   8600               13.35                    
303050000       19441226   6650               11.67                    
303050000       19460108   4650                9.75                    
303050000       19470325   4560                9.72                    
303050000       19480214   7640               12.59                    
303050000       19481216   5230               10.37                    
303050000       19500625   6240               11.37                    
303050000       19501204   5700               10.89                    
303050000       19520128   5100               10.31                    
303050000       19530222   4320                9.50                    
303050000       19540301   5800               11.03                    
303050000       19541016  10400               13.62                    
303050000       19560528   7250               11.44                    
303050000       19570130   9200               12.28                    
303050000       19580809   5710               10.46                    
303050000       19590122   4820                9.85                    
303050000       19600331   6850               11.25                    
303050000       19610219   4000                8.99                    
303050000       19620322   5570               10.35                    
303050000       19630320   8920               12.19                    
303050000       19640305   7530               11.54                    
303050000       19650412   4300                9.30                    
303050000       19660211   4250                9.252                   
303050000       19670307  11500               13.13                    
303050000       19680313   5180               10.11                    
303050000       19690325   4710                9.70                    
303050000       19691231  11200               13.05                    
303050000       19701222  10600               12.84                    
303050000       19720226  11300               13.07                    
303050000       19721209   9820               12.55                    
303050000       19740602  13000               13.71                    
303050000       19750429   3620                8.77                    
303050000       19760724   4810               10.01                    
303050000       19851105  2200027             16.60        1888          
303050000       19890426  11900               13.32                    
303050000       19900101   8680               12.17                    
303050000       19910324   6520               11.19                    
303050000       19911203  10100               12.67                    
303050000       19930324   5750               10.72                    
303050000       19940209  13000               13.73                    
303050000       19950515   5150               10.29                    
303050000       19960517  19900               15.65                    
303050000       19970302   9630               12.51                    
303050000       19980619  15900               14.65                    
303050000       19990121   3760                8.95                    
303050000       20000219  10600               12.87                    
303050000       20010519   4920               10.10                    
303050000       20020428  11100               13.12                    
303050000       20030511  11700               13.32                    
303050000       20040206   9670               12.60                    
303050000       20050324   5860               10.79                    
303050000       20051130   6410               11.13                    
303050000       20070415  10100               12.77                    
303050000       20080305   8360               12.07                    
303050000       20081212   7020               11.46                    
303050000       20100125   7430               11.66                    
303050000       20110413   7800               11.83                    
303050000       20120301   7620               11.75                    
303050000       20130131  10600               12.94                    
303050000       20131207  11900               13.39                    
303050000       20150311  11800               13.37                    
303050000       20160624   7220               11.56                    
303050000       20161219   5710               10.69                    
303050000       20180416  14200               14.15                    
303050000       20190120   5610               10.62                    
