Z02350900                       USGS 
H02350900       3145520841512001313177SW03130007527    527     211.74           
N02350900       KINCHAFOONEE CREEK AT PINEWOOD ROAD, NR DAWSON, GA
Y02350900       
302350900       19430120  150007              23.003       1900          
302350900       19480713  140002                                       
302350900       19490611   5880               17.803                   
302350900       19500401   1860               11.003                   
302350900       19510420   1070                9.033                   
302350900       19520328   2760               13.403                   
302350900       19530506   5880               17.803                   
302350900       19531209   3600               15.003                   
302350900       19550417   2100               11.803                   
302350900       19560926   2240               12.203                   
302350900       19570514   3210               14.303                   
302350900       19580311   3210               14.303                   
302350900       19590205   3060               14.003                   
302350900       19600406   7800               19.403                   
302350900       19610413   5760               17.703                   
302350900       19620109   4180               15.943                   
302350900       19630122   2560               12.963                   
302350900       19640915   4600               16.513                   
302350900       19641227   6360               18.173                   
302350900       19660305   9000               20.463                   
302350900       19721207   83007              20.033                   
302350900       19850513   1830               10.213                   
302350900       19851214   1870               10.32                    
302350900       19870123   2550               11.96                    
302350900       19880221   1280                8.62                    
302350900       19890707   1610                9.61                    
302350900       19900320  11300               20.44                    
302350900       19910305   5510               16.18                    
302350900       19920218   2340               11.79                    
302350900       19930403   3970               14.58                    
302350900       19940707  29500               26.56                    
302350900       19950221   4540               15.21                    
302350900       19960310   2760               12.63                    
302350900       19970223   2830               12.78                    
302350900       19980310  12800               21.59                    
302350900       19981003   2030               11.00                    
302350900       20000404   1640                9.87                    
302350900       20010307   4650               15.34                    
302350900       20020211   1040                7.78                    
302350900       20030412   2010               10.74                    
302350900       20040919   4030               14.65                    
302350900       20050329   9550               19.53                    
302350900       20060302   1980               10.84                    
302350900       20070416   1350                8.87                    
302350900       20080103   2750               12.62                    
302350900       20081214   6660               17.30                    
302350900       20091216   8290               18.62                    
302350900       20110209   1900               10.61                    
302350900       20120221    925                6.99                    
302350900       20130227   4390               15.05                    
302350900       20140422   4290               14.93                    
302350900       20150422   2490               12.11                    
302350900       20151225  11800               21.00                    
302350900       20170105   5350               16.07                    
302350900       20180215   1590               10.18                    
302350900       20181202   3520               14.03                    
