Z13011900                       USGS 
H13011900       4350171102627005616039SW17040101323    323     6772.78          
N13011900       BUFFALO FORK AB LAVA CREEK NR MORAN WY
Y13011900       
313011900       19660622   3270                6.03                    
313011900       19670701   3830                6.72                    
313011900       19680623   4200                6.80                    
313011900       19690608   3660                6.51                    
313011900       19700628   4860                7.36                    
313011900       19710623   4810                7.66                    
313011900       19720608   5160                7.65                    
313011900       19730610   4160                6.68                    
313011900       19740619   6020                7.91                    
313011900       19750708   5140                7.53                    
313011900       19760702   3840                6.422                   
313011900       19770605   3450                6.01                    
313011900       19780624   3890                6.49                    
313011900       19790529   3520                6.28                    
313011900       19800621   3280                5.79                    
313011900       19810609   6540                8.50                    
313011900       19820629   5540                7.93                    
313011900       19830710   3940                6.55                    
313011900       19840601   4040                6.45                    
313011900       19850608   3680                6.34                    
313011900       19860606   5230                7.48                    
313011900       19870609   2430                4.85                    
313011900       19880606   3810                6.44                    
313011900       19890616   3560                6.12                    
313011900       19900612   3640                6.09                    
313011900       19910614   4900                7.17                    
313011900       19920527   1850                3.97                    
313011900       19930522   3330                5.65                    
313011900       19940514   2920                5.24                    
313011900       19950615   3810                6.10                    
313011900       19960618   4900                7.41                    
313011900       19970611   5970                7.82                    
313011900       19980704   4490                6.69                    
313011900       19990622   5200                7.25                    
313011900       20000608   3940                6.22                    
313011900       20010516   2820                5.14                    
313011900       20020601   3570                5.88                    
313011900       20030531   4980                6.92                    
313011900       20040610   3280                5.38                    
313011900       20050624   3300                5.62                    
313011900       20060609   4210                6.45                    
313011900       20070514   2190                4.30                    
313011900       20080627   4790                6.93                    
313011900       20090627   4370                6.80                    
313011900       20100608   4100                6.36                    
313011900       20110701   5800                8.18                    
313011900       20120606   4500                7.02                    
313011900       20130611   3410                5.92                    
313011900       20140530   4680                7.36                    
313011900       20150609   3530                6.05                    
313011900       20160610   3660                6.19                    
313011900       20170609   5950                7.95                    
313011900       20180618   4800                7.24                    
313011900       20190616   3190                5.89                    
