Z05525500                       USGS 
H05525500       4037480874326001717075SW07120002446    446     622.00           
N05525500       SUGAR CREEK AT MILFORD, IL
Y05525500       
305525500       19490215   7900               17.90                    
305525500       19491222  14900               19.28                    
305525500       19510221  22900               20.90                    
305525500       19520614  14400               19.23                    
305525500       19530706   8800               20.95                    
305525500       19540412   1890               13.60                    
305525500       19550612   1720               12.89                    
305525500       19560430   4180               16.70                    
305525500       19570713  16700               23.22                    
305525500       19580613   9450               20.70                    
305525500       19590210   90002              23.741                   
305525500       19600624   4950               17.30                    
305525500       19610423   3310               15.50                    
305525500       19620322   7020               19.15                    
305525500       19630305   69002              19.601                   
305525500       19640421   5980               17.95                    
305525500       19650124   2240               14.09                    
305525500       19651225   42002                                       
305525500       19661209   3220               16.10                    
305525500       19680202  10600               21.00                    
305525500       19690130   5860               18.30                    
305525500       19700514   7010               19.13                    
305525500       19710205   4500               16.94                    
305525500       19720422   2980               14.56                    
305525500       19730423   6590               18.85                    
305525500       19740122   5930               18.36                    
305525500       19750111   7010               19.01                    
305525500       19760217   4180               16.32                    
305525500       19770914   4090               18.34                    
305525500       19780321   3460               16.31                    
305525500       19790305  120002              23.331                   
305525500       19800603  15200               22.66                    
305525500       19810901   6460               20.74                    
305525500       19820313   3610               17.882                   
305525500       19830502  12300               20.45                    
305525500       19840526  14600               21.15                    
305525500       19850224  10900               22.97                    
305525500       19851120  10000               22.49                    
305525500       19870519   1490               12.24                    
305525500       19871221   2650               16.00                    
305525500       19890527   2200               15.05                    
305525500       19900311  14100               24.47                    
305525500       19901230  14500               24.63                    
305525500       19920727   1980               14.72                    
305525500       19930105   8450               22.07                    
305525500       19940412  19400               28.16                    
305525500       19950525   5450               19.87                    
305525500       19960618  14300               25.85                    
305525500       19970227   5750               20.16                    
305525500       19980508   9240               21.30                    
305525500       19990417   6080               18.91                    
305525500       20000705   3650               16.41                    
305525500       20010225   8330               20.68                    
305525500       20011015   8090               20.51                    
305525500       20030711   6670               19.93                    
305525500       20040612  10400               24.28                    
305525500       20050114  11300               22.66                    
305525500       20060418   6010               18.85                    
305525500       20070324   9030               22.02                    
305525500       20080108  19700               28.66                    
305525500       20090311   9290               23.63                    
305525500       20100623   8470               22.92                    
305525500       20110428   5480               19.71                    
305525500       20120508   2870               17.16                    
305525500       20130419   8920               22.46                    
305525500       20140222   7760               21.54                    
305525500       20150712   9850               23.14                    
305525500       20151229  15100               26.32                    
305525500       20170501   5830               19.77                    
305525500       20180221  19600               28.50                    
305525500       20190502   5450               18.95                    
