Z08171300                       USGS 
H08171300       2958450975435004848209SW12100203412    412     620.12           
N08171300       Blanco Rv nr Kyle, TX
Y08171300       
308171300       192905   1390007Bd            40.005Bd       1882          
308171300       19520911 1150007              38.00                    
308171300       19570424  75400               34.00                    
308171300       19580502  98000               36.30                    
308171300       19590626   1650                9.66                    
308171300       19591004  40900               28.70                    
308171300       19610216  42400               27.43                    
308171300       19620604  15000               19.09                    
308171300       19630405   5640               13.85                    
308171300       19640617   1180                8.61                    
308171300       19650605  20100               21.12                    
308171300       19651018  10600               17.05                    
308171300       19670905    760                7.50                    
308171300       19680120  26600               23.33                    
308171300       19690517   1570                9.06                    
308171300       19700515  14400               18.57                    
308171300       19710805   2890               10.90                    
308171300       19720517   6300               14.00                    
308171300       19730715  22200               22.00                    
308171300       19731015  19100               20.75                    
308171300       19741123  16800               19.80                    
308171300       19760418  19600               20.88                    
308171300       19770416  13200               18.21                    
308171300       19780909   1950                9.93                    
308171300       19790319  12900               18.08                    
308171300       19800521   1140                8.54                    
308171300       19810613  29000               23.96                    
308171300       19820513  16300               19.58                    
308171300       19830521   3370               11.75                    
308171300       19831009   1870                9.82                    
308171300       19850606  50700               29.43                    
308171300       19860906  32900               25.91                    
308171300       19870717  19500               21.66                    
308171300       19871125  28000               24.22                    
308171300       19890517   6590               14.66                    
308171300       19900503   8800               16.28                    
308171300       19910414   2500               10.70                    
308171300       19911221  35300               26.18                    
308171300       19930120    916                7.98                    
308171300       19931020   1050                8.30                    
308171300       19950530   8890               16.34                    
308171300       19951101    206                5.77                    
308171300       19970622  33600               25.78                    
308171300       19980316  21100               22.20                    
308171300       19981017 105000               35.82                    
308171300       20000611    463                6.73                    
308171300       20001103  12000               18.25                    
308171300       20011115  87300               34.73                    
308171300       20030220   4710               12.97                    
308171300       20040630   6960               14.94                    
308171300       20041117  316002              25.265                   
308171300       20060507    190                5.74                    
308171300       20070312  34500               25.99                    
308171300       20071022    123                5.41                    
308171300       20090910    731                7.55                    
308171300       20100908  12600               17.11                    
308171300       20110109   87.0                5.30                    
308171300       20120511   5020               12.75                    
308171300       20130525   5030               12.76                    
308171300       20131031 101000               35.65                    
308171300       20150524 180000               40.86                    
308171300       20151030 115000               37.24                    
308171300       20170412   3180               11.13                    
308171300       20180909   3240               11.19                    
308171300       20190508  24500               21.45                    
