Z07180500                       USGS 
H07180500       3811470964927002020017SW11070202110    110     1262.50          
N07180500       CEDAR C NR CEDAR POINT, KS
Y07180500       
307180500       19390811   1020                7.90                    
307180500       19400417   4050               12.60                    
307180500       19410902  13000               21.50                    
307180500       19420624   3620               12.05                    
307180500       19421226   4950               13.81                    
307180500       19440422  22500               22.50                    
307180500       19450415   9760               19.58                    
307180500       19460517   3120               11.33                    
307180500       19470627   9170               18.29                    
307180500       19480719   7100               16.63                    
307180500       19490115   5550               14.63                    
307180500       19500731   7850               17.46                    
307180500       19510629  52400               23.70        1856          
307180500       19511006   6160               15.55                    
307180500       19530527   2700               10.63                    
307180500       19540325    290                5.95                    
307180500       19550927    746                7.08                    
307180500       19551002   1400                8.49                    
307180500       19570516   9280               19.42                    
307180500       19580329   6210               16.21                    
307180500       19590715  11000               20.30                    
307180500       19600504   6540               16.05                    
307180500       19610326  11300               20.47                    
307180500       19611010   3600               12.51                    
307180500       19630311    818                7.37                    
307180500       19640615   6900               16.50                    
307180500       19650605  27700               22.76                    
307180500       19660608   2210               11.04                    
307180500       19670621   7950               18.54                    
307180500       19680615   3450               13.20                    
307180500       19690426  10900               20.96                    
307180500       19700619   9850               20.21                    
307180500       19701006   6630               17.27                    
307180500       19720501   3560               13.39                    
307180500       19730310   6400               17.04                    
307180500       19731011   8820               18.48                    
307180500       19750616  13100               21.80                    
307180500       19760703   6200               16.82                    
307180500       19770619   6200               16.00                    
307180500       19780224   2940               11.90                    
307180500       19790608  16300               22.10                    
307180500       19800329   3520               12.75                    
307180500       19810703   5150               14.83                    
307180500       19811101   6940               16.74                    
307180500       19830405   4880               14.38                    
307180500       19840318   6600               16.57                    
307180500       19841101   5860               15.83                    
307180500       19851010  13900               21.63                    
307180500       19870602   6240               16.22                    
307180500       19880401   3720               12.95                    
307180500       19890826   5260               15.20                    
307180500       19900608  13400               21.48                    
307180500       19910527   1950                9.39                    
307180500       19920803   4230               13.45                    
307180500       19930721  10000               19.62                    
307180500       19940428   1260                7.74                    
307180500       19950608  10300               19.90                    
307180500       19960925   2720               10.43                    
307180500       19970411   7350               16.90                    
307180500       19980317   5000               14.15                    
307180500       19981101  11500               20.98                    
307180500       19991209   3130               11.07                    
307180500       20010224   5860               15.21                    
307180500       20020525   2500               10.06                    
307180500       20030911   3290               11.33                    
307180500       20040709  12200               20.49                    
307180500       20050603  11000               19.82                    
307180500       20060509    432                5.93                    
307180500       20070507   9770               18.22                    
307180500       20080627  10400               19.64                    
307180500       20090508  26000               21.99                    
307180500       20100609  10300               19.42                    
307180500       20110228   1830                8.94                    
307180500       20111220   2230                9.77                    
307180500       20130730   9770               20.12                    
307180500       20131031   4280               13.63                    
307180500       20150517   8990               18.20                    
307180500       20160910   7990               17.18                    
307180500       20170329   9700               19.03                    
