Z08086290                       USGS 
H08086290       3238540990015004848429SW12060105280    280     1185.83          
N08086290       Big Sandy Ck abv Breckenridge, TX
Y08086290       
308086290       19620610   37805              16.22                    
308086290       19630522   79905              23.07                    
308086290       19631119   43905              17.74                    
308086290       19650513   81705              23.30                    
308086290       19660501   71805              22.17                    
308086290       19670612   47705              18.62                    
308086290       19680120   74505              22.47                    
308086290       19690507   70005              23.00                    
308086290       19691229   30705              14.19                    
308086290       19710530   40605              16.92                    
308086290       19720507   21305              11.05                    
308086290       19730415   26005              12.65                    
308086290       19740421   46405              18.30                    
308086290       19741014   39705              16.68                    
308086290       19760526   10705               7.84                    
308086290       19770327   34605              17.51                    
308086290       19780409   22905              13.16                    
308086290       19790501   38505              18.66                    
308086290       19800929   10605               7.77                    
308086290       19810606   28105              15.14                    
308086290       19811013  800005              28.60                    
308086290       19830528   29205              15.56                    
308086290       19831009   18605              11.52                    
308086290       19850513   50005              21.52                    
308086290       19851019   32005              16.59                    
308086290       19861006   42005              19.58                    
308086290       19880601   11105               8.03                    
308086290       19890913   36705              18.18                    
308086290       19900426   61605              22.45                    
308086290       19910811   24005              13.60                    
308086290       19911220   85905              25.02                    
308086290       19930914    7615               6.26                    
308086290       19940512   35305              17.76                    
308086290       19950801   62905              23.48                    
308086290       19960915  150005              26.53                    
308086290       19970623   98705              25.61                    
308086290       19980316   58705              22.93                    
308086290       19990614   20505              12.20                    
308086290       20000603    9235               7.10                    
308086290       20010216   37005              18.28                    
308086290       20020707   55205              22.46                    
308086290       20030605   32205              16.67                    
308086290       20040424   11405               8.17                    
308086290       20041117   43505              19.95                    
308086290       20060506   21705              12.68                    
308086290       20070627  106005              25.90                    
308086290       20080424   61505              22.36                    
308086290       20090516    4625               5.69                    
308086290       20100603   28905              15.46                    
308086290       20110424    3235               5.33                    
308086290       20120125   29205              15.55                    
308086290       20130716   75805              25.36                    
308086290       20140716    9375               7.96                    
308086290       20150708   76105              24.602                   
308086290       20160603  225005              27.15                    
308086290       20170604   20505              12.88                    
308086290       20180301    4835               5.98                    
308086290       20181018   39605              20.09                    
