Z02384540                       USGS 
H02384540       3452190844316001313213SW031501018.24   8.24    888.98           
N02384540       MILL CREEK NEAR CRANDALL, GA
Y02384540       
302384540       19850201    272                3.39                    
302384540       19860218    179                3.05                    
302384540       19870228    305                3.60                    
302384540       19880120    363                3.81                    
302384540       19890930    894                4.95                    
302384540       19900216   2240                6.96                    
302384540       19901223   1180                5.48                    
302384540       19920614    687                4.52                    
302384540       19921217    343                3.60                    
302384540       19940327   1410                5.84                    
302384540       19950216   1450                5.90                    
302384540       19960126   1060                5.27                    
302384540       19970503    513                4.10                    
302384540       19980419    727                4.61                    
302384540       19990115    393                3.76                    
302384540       20000403    548                4.19                    
302384540       20001109    337                3.58                    
302384540       20020504    525                4.13                    
302384540       20030507    770                4.70                    
302384540       20040916   1540                6.04                    
302384540       20041124   1200                5.50                    
302384540       20060117    183                2.99                    
302384540       20070914    274                3.36                    
302384540       20080304    124                2.69                    
302384540       20090926   1590                6.12                    
302384540       20100124    477                4.01                    
302384540       20110306    353                3.64                    
302384540       20111128    657                4.46                    
302384540       20130505    796                4.76                    
302384540       20140407    307                3.48                    
302384540       20141014    274                3.36                    
302384540       20151225   1340                5.74                    
302384540       20170423    484                4.03                    
302384540       20180211    589                4.30                    
302384540       20190119    441                3.91                    
