Z01162500                       USGS 
H01162500       4240570720656002525027SW0108020219.4   19.4    848.95           
N01162500       PRIEST BROOK NEAR WINCHENDON, MA
Y01162500       
301162500       19170328    319                5.00                    
301162500       19190328    608                5.80                    
301162500       19200328    732                6.10                    
301162500       19201004    457                5.40                    
301162500       19220621    648                5.90                    
301162500       19230429    530                5.60                    
301162500       19240407    569                5.70                    
301162500       19250331    1482                                       
301162500       19260412    230                4.70                    
301162500       19270317    368                5.15                    
301162500       19271104   1000                6.80                    
301162500       19290323    319                5.00                    
301162500       19300327    136                4.13                    
301162500       19310411    273                4.85                    
301162500       19320401    457                5.40                    
301162500       19330418    493                5.50                    
301162500       19340412    368                5.15                    
301162500       19350110    352                5.10                    
301162500       19360318   1840                8.40                    
301162500       19370416    210                4.29                    
301162500       19380921   3000                9.90                    
301162500       19381206    370                5.06                    
301162500       19400413    685                6.65                    
301162500       19401231    104                3.64                    
301162500       19420310    550                5.70                    
301162500       19430328    169                4.07                    
301162500       19440625    532                5.64                    
301162500       19450322    280                4.65                    
301162500       19460310    413                5.22                    
301162500       19470408    188                4.18                    
301162500       19480323    565                5.75                    
301162500       19490107    242                4.46                    
301162500       19500330    224                4.25                    
301162500       19501127    605                5.86                    
301162500       19520406    389                5.08                    
301162500       19530316    479                5.46                    
301162500       19540418    325                4.86                    
301162500       19550427    286                4.68                    
301162500       19560430    568                5.77                    
301162500       19570124    207                4.19                    
301162500       19580407    276                4.63                    
301162500       19590403    646                5.992                   
301162500       19600406    744                6.26                    
301162500       19610330    159                4.00                    
301162500       19620402    434                5.30                    
301162500       19630403    305                4.77                    
301162500       19640415    202                4.25                    
301162500       19650417    116                3.72                    
301162500       19660326    209                4.29                    
301162500       19670527    279                4.60                    
301162500       19680324    366                4.98                    
301162500       19690411    347                4.90                    
301162500       19700403    359                4.95                    
301162500       19710414    213                4.22                    
301162500       19720420    361                4.96                    
301162500       19730701    468                5.39                    
301162500       19731222    737                6.22                    
301162500       19750927    457                5.34                    
301162500       19760128    339                4.86                    
301162500       19770314    664                6.01                    
301162500       19780127    2302                                       
301162500       19790307    50029              6.471                   
301162500       19800411    453                5.32                    
301162500       19810226    263                4.53                    
301162500       19820404    311                4.74                    
301162500       19830411    290                4.65                    
301162500       19840531    8502                                       
301162500       19850313    161                3.81                    
301162500       19860128    4502                                       
301162500       19870401    871                6.55                    
301162500       19880327    2742               4.58                    
301162500       19890407    281                4.61                    
301162500       19900318    391                5.07                    
301162500       19910820    377                4.81                    
301162500       19911123    238                4.32                    
301162500       19930331    361                4.81                    
301162500       19940407    322                4.66                    
301162500       19950309    187                4.07                    
301162500       19960417    573                5.63                    
301162500       19961202    241                4.33                    
301162500       19980618    367                4.87                    
301162500       19990629    345                4.78                    
301162500       20000317    203                4.15                    
301162500       20010414    357                4.83                    
301162500       20020514    151                3.88                    
301162500       20030330    357                4.83                    
301162500       20040402    410                5.04                    
301162500       20050403    507                5.40                    
301162500       20051016    583                5.66                    
301162500       20070417    436                5.14                    
301162500       20080219    325                4.702                   
301162500       20081212    354                4.82                    
301162500       20100315    452                5.20                    
301162500       20110308    739                6.32                    
301162500       20111208    382                4.90                    
301162500       20130914    264                4.39                    
301162500       20140331    372                4.85                    
301162500       20150415    204                4.12                    
301162500       20160225    282                4.47                    
301162500       20170407    215                4.17                    
301162500       20180114    680                5.97                    
301162500       20181103    483                5.29                    
