Z08198500                       USGS 
H08198500       2918510992849004848463SW12110106241    241     882.17           
N08198500       Sabinal Rv at Sabinal, TX
Y08198500       
308198500       1919                          40.00Bm                   
308198500       19320702  600007              31.00                    
308198500       19530904   1700                8.94                    
308198500       19540524  15900               19.56                    
308198500       19541006   51.0                4.83                    
308198500       19560703   1100                8.40                    
308198500       19570424   8350               15.47                    
308198500       19580617  73300               33.30                    
308198500       19590626  15900               19.17                    
308198500       19591004   1780                9.30                    
308198500       19610618   1120                8.17                    
308198500       19611010   59.0                4.66                    
308198500       19630506   4.00                3.75                    
308198500       19640927   4440               12.38                    
308198500       19650923   1250                8.87                    
308198500       19651018   1820                9.74                    
308198500       19670915  10200               16.73                    
308198500       19671015  22200               21.60                    
308198500       19690826    128                5.59                    
308198500       19691005  18700               20.35                    
308198500       19710812  32400               24.67                    
308198500       19720824   8260               15.35                    
308198500       19730715  45200               27.90                    
308198500       19740830   7670               14.96                    
308198500       19750209   35.0                4.82                    
308198500       19760716  15700               19.85                    
308198500       19770511   1690                9.28                    
308198500       19780802  26300               23.35                    
308198500       19790603   4710               12.83                    
308198500       19800907  17500               20.56                    
308198500       19810423  12600               18.52                    
308198500       19811013  19100               21.14                    
308198500       19830509   15.0                3.76                    
308198500       19831106    568                7.11                    
308198500       19841231  13900               19.10                    
308198500       19851019  12800               18.61                    
308198500       19870529  34100               26.61                    
308198500       19880712   7010               14.95                    
308198500       19881031   13.0                3.40                    
308198500       19900718   8830               16.24                    
308198500       19910915  28100               23.95                    
308198500       19920609  10600               17.36                    
308198500       19930506    400                6.30                    
308198500       19940619   7.00                3.46                    
308198500       19950923    548                6.99                    
308198500       19951031   52.0                4.53                    
308198500       19970622  93500               35.86                    
308198500       19980823  19700               21.32                    
308198500       19981018   6690               14.71                    
308198500       20000609   1790                9.49                    
308198500       20001023   6540               14.59                    
308198500       20020702 119000               39.00                    
308198500       20021024   1060                8.20                    
308198500       20040630  22800               22.31                    
308198500       20041117    659                6.93                    
308198500       20060917   1520                9.04                    
308198500       20070721  42000               27.15                    
308198500       20080820    123                5.09                    
308198500       20090912   15.0                3.48                    
308198500       20100416   8370               15.84                    
308198500       20110622   1.90                3.042                   
308198500       20120511   2390               10.75                    
308198500       20130911   54.0                4.29                    
308198500       20140526  10300               16.93                    
308198500       20150524  15800               19.51                    
308198500       20160529   3380               11.92                    
308198500       20170403    105                4.09                    
308198500       20180908   3720               12.28                    
308198500       20181009   7890               15.29                    
