Z04233000                       USGS 
H04233000       4223350763242003636109SW0414020135.2   35.2    437.16           
N04233000       CAYUGA INLET NEAR ITHACA NY
Y04233000       
304233000       19350708   560027                                      
304233000       19370827   2100                5.303                   
304233000       19380306   1550                4.613                   
304233000       19390220   1330                4.503                   
304233000       19400331   2110                5.313                   
304233000       19410630   1110                3.983                   
304233000       19420813   4110                7.583                   
304233000       19421230   2020                5.493                   
304233000       19440316   1060                3.773                   
304233000       19450318   1080                3.873                   
304233000       19460527   1890                5.313                   
304233000       19470603   2690                6.283                   
304233000       19480322   1320                4.393                   
304233000       19481120    461                2.523                   
304233000       19500328   1740                4.863                   
304233000       19501125   1380                4.303                   
304233000       19520311    988                3.593                   
304233000       19521211   1400                4.353                   
304233000       19540504    858                3.343                   
304233000       19550301    732                3.093                   
304233000       19560307   2470                5.823                   
304233000       19570405    920                3.353                   
304233000       19580407   1200                4.123                   
304233000       19590122   1570                4.563                   
304233000       19600330   1240                3.983                   
304233000       19610225   1730                4.813                   
304233000       19620312    762                3.053                   
304233000       19621011   3940                7.133                   
304233000       19640305   1910                5.133                   
304233000       19650208    298                2.153                   
304233000       19660213    578                2.853                   
304233000       19670329    322                2.223                   
304233000       19671102    840                3.383                   
304233000       19681118    457                2.583                   
304233000       19700703   2150                5.313                   
304233000       19710315   1170                3.853                   
304233000       19720623   48009               8.103       1935          
304233000       19721206   1010                3.573                   
304233000       19740414    700                2.963                   
304233000       19750926   1520                4.453                   
304233000       19760217    6802               3.2113                   
304233000       19761009    869                3.303                   
304233000       19780109   1320                4.123                   
304233000       19790306   1370                4.213                   
304233000       19800321    963                3.483                   
304233000       19810223    713                2.9923                   
304233000       19811028   2520                5.783                   
304233000       19830415    654                2.873                   
304233000       19840214   1830                4.893                   
304233000       19850224    618                2.803                   
304233000       19860315    921                3.403                   
304233000       19870404    822                3.213                   
304233000       19880326    373                2.283                   
304233000       19890511    957                3.473                   
304233000       19900216    502                2.563                   
304233000       19901023   3990                7.363                   
304233000       19920327   1370                4.213                   
304233000       19930416   2200                5.383                   
304233000       19940818   1550                4.503                   
304233000       19941101    412                2.373                   
304233000       19960119   4210                7.573                   
304233000       19961108   3320                6.693                   
304233000       19980708   1680                4.683                   
304233000       19990304   1760                4.773                   
304233000       20000228    892                3.333                   
304233000       20010330    423                2.323                   
304233000       20020513    877                3.303                   
304233000       20030722    575                2.653                   
304233000       20040830   1680                4.653                   
304233000       20050402   2390                5.6136                   
304233000       20051129   2350                5.90                    
304233000       20070315   2490                6.10                    
304233000       20071223   2780                6.35                    
304233000       20090309    552                3.79                    
304233000       20100125   2040                5.72                    
304233000       20110908   71909               9.82                    
304233000       20111223    751                3.99                    
