Z04197100                       USGS 
H04197100       4101200830635003939147SW04100011149    149     816.21           
N04197100       Honey Creek at Melmore OH
Y04197100       
304197100       19610425   2560                8.69                    
304197100       19620227   2740                8.84                    
304197100       196303     38502Bd            10.581Bd                   
304197100       196404     2690Bd              8.80Bd                   
304197100       196501     2620Bd              8.74Bd                   
304197100       19660712   3400                9.33                    
304197100       19661210   1610                7.61                    
304197100       196801     3590Bd              9.46Bd                   
304197100       196905     3150Bd              9.16Bd                   
304197100       19700402   2150                8.30                    
304197100       197102     1300Bd              7.07Bd                   
304197100       19720509   1490                7.42                    
304197100       19721114   1790                7.87                    
304197100       19740220   3280                9.25                    
304197100       19750223   2990                9.04                    
304197100       19760217   3530               10.09                    
304197100       19770225   1240                6.63                    
304197100       19771214   3420                9.97                    
304197100       19790414   3800               10.39                    
304197100       19800309   18002                                       
304197100       19810613   4400               11.00                    
304197100       19820312   2490                8.74                    
304197100       19830503   1940                7.89                    
304197100       19840321   3020                9.46                    
304197100       19850224   3780               10.36                    
304197100       19860205   2070                8.11                    
304197100       19870406   1820                7.68                    
304197100       19880220   1220                6.59                    
304197100       19890527   2110                8.18                    
304197100       19900216   2540                8.74                    
304197100       19901230   42902              10.89                    
304197100       19920717   2130                8.12                    
304197100       19921113   3310                9.81                    
304197100       19940412   2720                9.00                    
304197100       19950309   1850                7.67                    
304197100       19960119   3110                9.55                    
304197100       19970601   3580               10.14                    
304197100       19980108   3550               10.11                    
304197100       19990123   2680                8.94                    
304197100       20000824   2980                9.36                    
304197100       20010210   1040                6.142                   
304197100       20020201   2370                8.49                    
304197100       20030711   2540                8.742                   
304197100       20040613   2700                8.97                    
304197100       20050112   3400                9.94                    
304197100       20060622   2480                8.66                    
304197100       20070106   4540               11.15                    
304197100       20080206   5400               12.00                    
304197100       20090309   4300               10.90                    
304197100       20100311   1580                7.19                    
304197100       20110228   5460               12.06                    
304197100       20111129   2500                8.66                    
304197100       20130412   3140                9.55                    
304197100       20131222   4060               10.642                   
304197100       20150314   2500                8.66                    
304197100       20151229   2240                8.24                    
304197100       20170713   4510               11.12                    
304197100       20171119   2650                8.89                    
304197100       20181102   3050                9.44                    
