Z03187500                       USGS 
H03187500       3817430803136005454067SW0505000580.4   80.4    2130.07          
N03187500       CRANBERRY RIVER NEAR RICHWOOD, WV
Y03187500       
303187500       19450101   4120                7.37                    
303187500       19460107   5810                8.65                    
303187500       19470325   3320                6.84                    
303187500       19480214   4550                7.75                    
303187500       19481215   3020                6.65                    
303187500       19500131   3960                7.26                    
303187500       19501204   3790                7.17                    
303187500       19540719  122007              12.22        1932          
303187500       19650916   4160                7.37                    
303187500       19660213   4260                7.43                    
303187500       19670307   6590                9.18                    
303187500       19680313   2600                6.35                    
303187500       19690820   4260                7.43                    
303187500       19691231   4650                8.72                    
303187500       19701222   4070                7.32                    
303187500       19720226   5470                8.34                    
303187500       19721101   6170                8.91                    
303187500       19731226   5500                8.43                    
303187500       19750923   3570                7.01                    
303187500       19760101   3410                6.91                    
303187500       19761009   6330                9.02                    
303187500       19780126   89002                                       
303187500       19790305   5420                8.37                    
303187500       19791126   2610                6.11                    
303187500       19810610   6590                9.18                    
303187500       19820530   3280                6.78                    
303187500       19840321  11300               11.98                    
303187500       19850524   3920                7.25                    
303187500       19851104  10500               11.41                    
303187500       19861224   3220                6.75                    
303187500       19880925   2030                5.80                    
303187500       19890821  11200               11.93                    
303187500       19900101   36002                                       
303187500       19910323   5850                8.68                    
303187500       19911202   7640                9.80                    
303187500       19930401   3470                6.94                    
303187500       19940508   7040                9.46                    
303187500       19950115   3270                6.80                    
303187500       19960119   9610               10.81                    
303187500       19961202   3070                6.66                    
303187500       19980108   6030                8.75                    
303187500       19990124   2830                6.72                    
303187500       20000219   5680                8.55                    
303187500       20010729  10500               11.09                    
303187500       20020507   6140                8.83                    
303187500       20030904   4120                7.64                    
303187500       20031119  12200               11.90                    
303187500       20050328   5360                8.37                    
303187500       20051129   8230                9.98                    
303187500       20070302   4100                7.63                    
303187500       20080305   5740                8.59                    
303187500       20081211   4860                8.09                    
303187500       20100125   7910                9.82                    
303187500       20101201   4760                8.03                    
303187500       20111207   2790                6.69                    
303187500       20130131   5620                8.51                    
303187500       20140516   6200                8.87                    
303187500       20150713   4440                7.84                    
303187500       20160623  10700               11.80                    
303187500       20170525   3100                6.97                    
303187500       20171023   7050                9.77                    
303187500       20190124   3040                6.92                    
