Z03180500                       USGS 
H03180500       3832370795000005454075SW05050003133    133     2699.50          
N03180500       GREENBRIER RIVER AT DURBIN, WV
Y03180500       
303180500       19440223   5580                6.49                    
303180500       19441226   3340                5.412                   
303180500       19460107   5420                6.42                    
303180500       19470325   3040                5.18                    
303180500       19480414   4200                5.96                    
303180500       19490618   2780                5.05                    
303180500       19500131   3010                5.20                    
303180500       19501207   4650                6.07                    
303180500       19520127   3010                5.18                    
303180500       19530221   4960                6.21                    
303180500       19540301   3640                5.60                    
303180500       19541015   9900                8.38                    
303180500       19560806   2640                4.972                   
303180500       19570123   3800                5.72                    
303180500       19580406   4120                5.922                   
303180500       19590122   4970                6.671                   
303180500       19600404   6920                7.12                    
303180500       19610225   6040                6.74                    
303180500       19620321   4370                5.92                    
303180500       19630319   7450                7.342                   
303180500       19640305   7760                7.48                    
303180500       19650102   2550                5.20                    
303180500       19660213   3800                5.64                    
303180500       19670307  12200                9.15                    
303180500       19680313   2660                5.12                    
303180500       19690325   2900                5.25                    
303180500       19700423   4810                6.14                    
303180500       19701222   5710                6.55                    
303180500       19720226   5090                6.27                    
303180500       19721209   5290                6.36                    
303180500       19740602   7070                7.17                    
303180500       19750923   3180                5.39                    
303180500       19760101   3430                5.51                    
303180500       19761009   9160                8.06                    
303180500       19780126   6130                6.74                    
303180500       19790216   7850                7.52                    
303180500       19800521   2330                4.77                    
303180500       19810606   5070                6.262                   
303180500       19820320  11000                8.76                    
303180500       19821129   3420                5.45                    
303180500       19840214   60002                                       
303180500       19850225   3360                5.412                   
303180500       19851104  37100               15.82        1896          
303180500       19870119   3000                5.19                    
303180500       19880120   3790                5.66                    
303180500       19890306   5310                6.37                    
303180500       19900101   4100                5.82                    
303180500       19910323   5670                6.53                    
303180500       19911202   8870                7.93                    
303180500       19930324   3800                5.65                    
303180500       19940209   9320                8.11                    
303180500       19950514   4300                5.90                    
303180500       19960518  35600               15.52                    
303180500       19961108   4980                6.22                    
303180500       19980108   4590                6.04                    
303180500       19990124   30002               5.205                   
303180500       20000219   7400                7.32                    
303180500       20010522   2350                4.72                    
303180500       20020422   50002               6.205                   
303180500       20030511   6080                6.75                    
303180500       20040206   7390                7.33                    
303180500       20050324   3990                5.63                    
303180500       20060627   3350                5.21                    
303180500       20070302   5160                6.302                   
303180500       20080305   7820                7.51                    
303180500       20081212   4400                5.88                    
303180500       20100125  204002              11.80                    
303180500       20110412   4260                5.80                    
303180500       20120301   3040                4.99                    
303180500       20130829   3840                5.57                    
303180500       20140516   4160                5.74                    
303180500       20150311   5090                6.26                    
303180500       20160623   2890                4.93                    
303180500       20170115   1940                4.15                    
303180500       20180416   7980                7.40                    
303180500       20190224   3320                5.07                    
